kedb_parent_name,kedb_child_name,app_name,old_kedb,new_symtom_kedb,new_specific_symtom_kedb,kedb_finalisasi,action,responsibility_action,sop
"REAKTIVASI PREPAID","K14-Reaktivasi Gagal",DSC,[]DSC[]Reaktivasi_Prepaid_Failed[]Cek_/api/reactivate[]Complaint,"Unsync Southbound CRM BE","Status CRM BE Active",KIP_Q32024_480_9,"eskalasi to CRM BE",L1,
"REAKTIVASI PREPAID","K14-Reaktivasi Gagal",DSC,[]DSC[]Reaktivasi_Prepaid_Failed[]Cek_/api/reactivate[]Complaint,"Unsync Southbound DSP","Status HLR In Active",KIP_Q32024_480_10,"eskalasi to DSP",L1,
"REAKTIVASI PREPAID","K14-Reaktivasi Gagal",DSC,[]DSC[]Reaktivasi_Prepaid_Failed[]Cek_/api/reactivate[]Complaint,"Unsync Southbound Paradise","Status Paradise Still Active",KIP_Q32024_480_11,"eskalasi to paradise",L1,
"REAKTIVASI PREPAID","K14-Reaktivasi Gagal",DSC,[]DSC[]Reaktivasi_Prepaid_Failed[]Cek_/api/reactivate[]Complaint,"System Error","Lewat Masa Tenggang/ Msisdn Still Active",KIP_Q32024_480_33,"Cancel Prepaid via AO SRM",L1,
"REAKTIVASI PREPAID","K14-Reaktivasi Gagal",DSC,-,"Salah Assign","Salah Assign",KIP_Q32024_480_12,"eskalasi ke apps lain",L1,
"Migrasi Postpaid to Prepaid","K59-Gagal/Error Migrasi Post to Pre",DSC,[]DSC[]Kendala_Migrasi_PostToPre[]Customer_Profile[]Complaint,"Unsync Southbound TC","Status TC Still Active",KIP_Q32024_1031_1,"eskalasi to TC",L1,
"Migrasi Postpaid to Prepaid","K59-Gagal/Error Migrasi Post to Pre",DSC,[]DSC[]Kendala_Migrasi_PostToPre[]Customer_Profile[]Complaint,"Unsync Northbound PRO","Order CE / Terminate",KIP_Q32024_1031_2,"eskalasi to PRO",L1,
"Migrasi Postpaid to Prepaid","K59-Gagal/Error Migrasi Post to Pre",DSC,[]DSC[]Kendala_Migrasi_PostToPre[]Customer_Profile[]Complaint,"Unsync Southbound Paradise","Status Paradise Still Active",KIP_Q32024_1031_3,"eskalasi to paradise",L1,
"Migrasi Postpaid to Prepaid","K59-Gagal/Error Migrasi Post to Pre",DSC,[]DSC[]Kendala_Migrasi_PostToPre[]Customer_Profile[]Complaint,"Unsync Southbound DSP","Status HLR Still Active",KIP_Q32024_1031_4,"eskalasi to DSP",L1,
"Migrasi Postpaid to Prepaid","K59-Gagal/Error Migrasi Post to Pre",DSC,[]DSC[]Kendala_Migrasi_PostToPre[]Customer_Profile[]Complaint,"Unsync Southbound ESB","Status DSC Still Postpaid",KIP_Q32024_1031_5,"eskalasi to ESB",L1,
"Migrasi Postpaid to Prepaid","K59-Gagal/Error Migrasi Post to Pre",DSC,[]DSC[]Kendala_Migrasi_PostToPre[]Customer_Profile[]Complaint,"Success Migrasi Prepaid","Waiting 1x24 jam untuk query di DSC",KIP_Q32024_1031_31,"Cek profile di DSC",L1,
"Migrasi Postpaid to Prepaid","K59-Gagal/Error Migrasi Post to Pre",DSC,-,"Salah Assign","Salah Assgin",KIP_Q32024_1031_6,"Eskalasi ke Apps Lain",L1,
"MSISDN HYBRID","P32-Permintaan Aktivasi Layanan",DSC,[]DSC[]Kendala_msisdn_hybrid[]Mode_Post_terbaca_Pre[]Complaint,"Unsync Southbound DSP","Status HLR Active Prepaid",KIP_Q32024_1136_3,"eskalasi to DSP",L1,
"MSISDN HYBRID","P32-Permintaan Aktivasi Layanan",DSC,[]DSC[]Kendala_msisdn_hybrid[]Mode_Post_terbaca_Pre[]Complaint,"Unsync Southbound TC","Status TC Active Prepaid",KIP_Q32024_1136_4,"eskalasi to TC",L1,
,,99%USAHAKU,,,,[]99%USAHAKU[]Missed_Assigned[]Check_Result_Not_Found[]Complaint,,,
,,99%USAHAKU,,,,[]99%USAHAKU[]Undefined[]Identify_Case[]Complaint,,,
,,B2BMYENTERPRISE,,,,[]B2BMYENTERPRISE[]Activation_Enterprise+[]Activation_Failed[]Complaint,,,
,,B2BMYENTERPRISE,,,,[]B2BMYENTERPRISE[]Activation_Enterprise+[]Button_activation_Null[]Complaint,,,
,,B2BMYENTERPRISE,,,,[]B2BMYENTERPRISE[]Activation_Enterprise+[]Failed_to_invoke_Camunda[]Complaint,,,
,,B2BMYENTERPRISE,,,,[]B2BMYENTERPRISE[]Cancel_Order[]Update_Data[]Complaint,,,
,,B2BMYENTERPRISE,,,,[]B2BMYENTERPRISE[]Change_AS_Data[]Update_Data[]Complaint,,,
,,B2BMYENTERPRISE,,,,[]B2BMYENTERPRISE[]Change_PIC_Data[]Update_Data[]Complaint,,,
,,B2BMYENTERPRISE,,,,[]B2BMYENTERPRISE[]Failed_Add_Member_Quota_Pooling[]ChildNumber_Unregistered[]Complaint,,,
